id,total_bike_ct
1,16
2,40
3,32
4,13
5,1
6,1
7,2
8,3
9,8
10,14
11,36
12,56
13,84
14,94
15,106
16,110
17,93
18,67
19,35
20,37
21,36
22,34
23,28
24,39
25,17
26,17
27,9
28,6
29,3
30,2
31,1
32,8
33,20
34,53
35,70
36,93
37,75
38,59
39,74
40,76
41,65
42,53
43,30
44,22
45,31
46,9
47,8
48,5
49,2
50,1
51,3
52,30
53,64
54,154
55,88
56,44
57,51
58,61
59,61
60,77
61,72
62,76
63,157
64,157
65,110
66,52
67,52
68,20
69,12
70,5
71,2
72,1
73,2
74,4
75,36
76,94
77,179
78,100
79,42
80,57
81,78
82,97
83,63
84,65
85,83
86,212
87,182
88,112
89,54
90,48
91,35
92,11
93,6
94,6
95,2
96,2
97,3
98,33
99,88
100,195
101,115
102,57
103,46
104,79
105,71
106,62
107,62
108,89
109,190
110,169
111,132
112,89
113,43
114,42
115,19
116,11
117,4
118,2
119,1
120,4
121,36
122,95
123,219
124,122
125,45
126,59
127,84
128,67
129,70
130,62
131,86
132,172
133,163
134,112
135,69
136,48
137,52
138,23
139,17
140,7
141,1
142,1
143,5
144,34
145,84
146,210
147,134
148,63
149,67
150,59
151,73
152,50
153,72
154,87
155,187
156,123
157,95
158,51
159,39
160,36
161,15
162,25
163,16
164,16
165,7
166,1
167,5
168,2
169,9
170,15
171,20
172,61
173,62
174,98
175,102
176,95
177,74
178,76
179,69
180,55
181,30
182,28
183,37
184,34
185,22
186,25
187,12
188,11
189,4
190,1
191,1
192,1
193,6
194,10
195,19
196,49
197,49
198,83
199,75
200,72
201,82
202,92
203,62
204,48
205,41
206,38
207,20
208,15
209,6
210,5
211,1
212,3
213,1
214,3
215,3
216,31
217,77
218,188
219,94
220,31
221,30
222,52
223,54
224,47
225,45
226,74
227,178
228,155
229,95
230,74
231,38
232,24
233,18
234,12
235,3
236,3
237,6
238,27
239,99
240,217
241,130
242,54
243,35
244,57
245,52
246,63
247,47
248,76
249,136
250,95
251,51
252,32
253,20
254,29
255,19
256,7
257,6
258,1
259,5
260,16
261,54
262,128
263,81
264,39
265,35
266,55
267,49
268,44
269,49
270,68
271,139
272,137
273,83
274,56
275,57
276,33
277,20
278,7
279,2
280,2
281,3
282,4
283,3
284,28
285,72
286,202
287,139
288,38
289,37
290,52
291,83
292,42
293,60
294,78
295,162
296,144
297,99
298,64
299,40
300,30
301,15
302,14
303,5
304,1
305,1
306,8
307,17
308,70
309,158
310,117
311,44
312,53
313,61
314,77
315,64
316,68
